,Unnamed: 0,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class_pred,class
25,25,3,0,4,5,1,0,2,1
39,39,2,2,2,2,1,0,1,1
92,92,1,3,2,2,1,0,1,1
192,192,0,2,5,4,1,1,0,2
185,185,0,2,4,5,1,0,2,2
216,216,0,0,2,2,2,1,0,0
241,241,0,2,3,2,0,0,0,0
46,46,2,2,4,2,0,1,1,1
242,242,3,2,2,4,2,0,1,1
112,112,1,2,3,4,0,2,2,2
100,100,1,3,4,5,2,1,0,2
104,104,1,3,5,4,2,0,2,2
183,183,0,2,4,5,0,1,0,2
132,132,1,1,4,2,2,2,2,2
243,243,0,1,4,5,0,1,0,0
124,124,1,2,5,4,1,2,2,2
15,15,1,1,2,4,0,2,0,0
183,183,0,2,4,5,0,1,0,2
189,189,0,2,5,2,0,2,1,1
233,233,1,3,4,5,2,2,0,0
217,217,0,0,2,2,2,2,0,0
78,78,2,0,2,2,2,0,1,1
101,101,1,3,5,2,1,1,1,1
22,22,3,0,4,2,1,2,1,1
153,153,1,0,5,2,0,0,1,1
191,191,0,2,5,4,0,1,0,2
110,110,1,2,3,2,2,1,2,2
45,45,2,2,3,4,2,1,1,1
101,101,1,3,5,2,1,1,1,1
66,66,2,1,4,5,0,1,2,1
121,121,1,2,5,2,0,1,1,1
218,218,0,0,2,4,1,1,0,1
151,151,1,0,4,5,2,0,1,1
105,105,1,3,5,4,2,1,0,2
15,15,1,1,2,4,0,2,0,0
76,76,2,1,5,4,2,1,1,1
165,165,0,3,4,5,0,2,2,2
104,104,1,3,5,4,2,0,2,2
237,237,1,1,4,5,0,0,2,0
130,130,1,1,3,4,2,1,1,1
